time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,precipitation,rain,snowfall,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,et0_fao_evapotranspiration,vapor_pressure_deficit,time
2022-02-11T00:00,4.1,59,-3.3,-1.0,1008.4,830.8,0.0,0.0,0.0,14,0,0,48,0.0,0.0,0.0,0.0,16.9,36.7,196,182,37.8,0.04,0.34,2022-02-11T00:00
2022-02-11T01:00,3.4,59,-3.8,-1.9,1008.1,830.1,0.0,0.0,0.0,14,0,0,45,0.0,0.0,0.0,0.0,18.4,38.9,191,182,28.8,0.04,0.32,2022-02-11T01:00
2022-02-11T02:00,1.6,64,-4.5,-3.3,1007.2,828.4,0.0,0.0,0.0,7,0,0,23,0.0,0.0,0.0,0.0,15.0,34.6,190,178,18.4,0.03,0.25,2022-02-11T02:00
2022-02-11T03:00,1.3,59,-5.8,-2.8,1007.5,828.4,0.0,0.0,0.0,22,0,0,73,0.0,0.0,0.0,0.0,9.0,24.7,185,164,23.0,0.02,0.28,2022-02-11T03:00
2022-02-11T04:00,4.4,41,-7.9,0.4,1008.2,830.8,0.0,0.0,0.0,26,1,0,84,0.0,0.0,0.0,0.0,6.2,13.1,159,143,17.6,0.02,0.5,2022-02-11T04:00
2022-02-11T05:00,4.6,39,-8.3,0.7,1008.8,831.4,0.0,0.0,0.0,19,5,0,48,0.0,0.0,0.0,0.0,5.8,5.8,277,356,11.2,0.02,0.52,2022-02-11T05:00
2022-02-11T06:00,-1.9,58,-9.1,-5.9,1010.0,828.6,0.0,0.0,0.0,10,1,0,30,0.0,0.0,0.0,0.0,6.0,7.1,213,165,13.3,0.01,0.23,2022-02-11T06:00
2022-02-11T07:00,-4.1,66,-9.6,-7.7,1011.1,828.2,0.0,0.0,0.0,3,3,0,0,0.0,0.0,0.0,0.0,2.9,4.4,210,125,13.3,0.0,0.16,2022-02-11T07:00
2022-02-11T08:00,-2.5,63,-8.7,-6.2,1014.7,832.1,0.0,0.0,0.0,2,2,1,0,0.0,0.0,0.0,0.0,4.0,16.0,80,54,14.0,0.0,0.19,2022-02-11T08:00
2022-02-11T09:00,-2.2,62,-8.5,-6.0,1018.7,835.6,0.0,0.0,0.0,7,4,4,2,0.0,0.0,0.0,0.0,4.6,18.4,72,39,16.9,0.0,0.2,2022-02-11T09:00
2022-02-11T10:00,-1.9,62,-8.1,-6.6,1022.0,838.5,0.0,0.0,0.0,4,2,4,0,0.0,0.0,0.0,0.0,11.5,19.3,346,9,12.2,0.02,0.2,2022-02-11T10:00
2022-02-11T11:00,-0.9,60,-7.8,-4.9,1023.4,840.2,0.0,0.0,0.0,4,2,3,0,71.0,48.0,23.0,0.0,7.0,11.4,325,347,14.4,0.02,0.23,2022-02-11T11:00
2022-02-11T12:00,-4.4,75,-8.2,-8.2,1024.4,838.9,0.0,0.0,0.0,17,11,12,0,255.0,197.0,58.0,640.7,5.1,10.1,4,356,20.5,0.06,0.11,2022-02-11T12:00
2022-02-11T13:00,-0.9,75,-4.9,-5.0,1024.4,841.0,0.0,0.0,0.0,58,38,39,0,411.0,329.0,82.0,789.7,9.0,12.6,23,20,28.4,0.12,0.15,2022-02-11T13:00
2022-02-11T14:00,0.3,74,-3.8,-4.5,1024.9,842.1,0.0,0.0,0.0,100,74,71,0,488.0,355.0,133.0,761.9,15.0,20.8,27,26,38.5,0.14,0.16,2022-02-11T14:00
2022-02-11T15:00,-1.2,75,-5.1,-6.5,1025.6,841.8,0.2,0.0,0.14,100,94,98,0,439.0,221.0,218.0,541.4,16.9,23.8,29,29,39.2,0.12,0.14,2022-02-11T15:00
2022-02-11T16:00,-1.9,74,-6.0,-6.8,1026.0,841.7,0.3,0.0,0.21,100,80,99,0,375.0,93.0,282.0,254.5,13.8,19.6,28,26,34.9,0.11,0.14,2022-02-11T16:00
2022-02-11T17:00,-2.2,73,-6.4,-6.5,1026.2,841.7,0.3,0.0,0.21,100,92,99,0,400.0,145.0,255.0,207.2,9.3,13.4,28,27,28.8,0.12,0.14,2022-02-11T17:00
2022-02-11T18:00,-2.7,75,-6.5,-6.1,1028.5,843.3,0.4,0.0,0.28,100,89,100,3,207.0,38.0,169.0,178.8,3.6,4.7,360,360,23.4,0.07,0.13,2022-02-11T18:00
2022-02-11T19:00,-3.1,78,-6.3,-6.6,1028.7,843.2,0.6,0.0,0.42,100,76,100,12,150.0,20.0,130.0,62.9,4.2,5.8,290,300,19.4,0.05,0.11,2022-02-11T19:00
2022-02-11T20:00,-3.8,84,-6.1,-7.1,1029.8,843.7,0.6,0.0,0.42,100,58,100,47,51.0,11.0,40.0,61.7,3.3,3.9,221,248,15.5,0.02,0.08,2022-02-11T20:00
2022-02-11T21:00,-4.2,84,-6.4,-7.7,1031.3,844.7,0.5,0.0,0.35,100,49,100,33,6.0,1.0,5.0,13.7,4.2,3.0,200,194,13.0,0.01,0.07,2022-02-11T21:00
2022-02-11T22:00,-5.0,85,-7.1,-8.5,1033.1,845.7,0.3,0.0,0.21,100,48,100,37,0.0,0.0,0.0,0.0,3.8,2.6,197,146,9.7,0.0,0.06,2022-02-11T22:00
2022-02-11T23:00,-6.2,86,-8.2,-9.6,1033.7,845.4,0.2,0.0,0.14,100,41,100,21,0.0,0.0,0.0,0.0,2.2,5.4,180,82,10.1,0.0,0.05,2022-02-11T23:00
2022-02-12T00:00,-6.4,83,-8.8,-10.7,1035.1,846.4,0.2,0.0,0.14,100,60,100,15,0.0,0.0,0.0,0.0,8.0,11.8,82,70,13.7,0.0,0.06,2022-02-12T00:00
2022-02-12T01:00,-5.6,78,-8.8,-9.8,1036.3,847.9,0.1,0.0,0.07,84,27,100,0,0.0,0.0,0.0,0.0,7.3,13.1,81,69,10.1,0.0,0.09,2022-02-12T01:00
2022-02-12T02:00,-6.7,79,-9.7,-10.2,1036.9,847.7,0.1,0.0,0.07,79,26,93,0,0.0,0.0,0.0,0.0,1.8,5.5,143,79,7.9,0.0,0.08,2022-02-12T02:00
2022-02-12T03:00,-8.1,90,-9.5,-11.9,1037.4,847.2,0.1,0.0,0.07,89,46,80,0,0.0,0.0,0.0,0.0,4.5,4.3,209,204,9.7,0.0,0.03,2022-02-12T03:00
2022-02-12T04:00,-10.0,89,-11.4,-14.6,1037.0,845.7,0.0,0.0,0.0,71,41,57,0,0.0,0.0,0.0,0.0,8.9,8.7,227,232,10.8,0.0,0.03,2022-02-12T04:00
2022-02-12T05:00,-11.0,87,-12.8,-15.8,1036.1,844.3,0.0,0.0,0.0,35,24,22,0,0.0,0.0,0.0,0.0,9.7,9.9,243,251,10.1,0.0,0.04,2022-02-12T05:00
2022-02-12T06:00,-12.5,85,-14.5,-17.0,1036.2,843.4,0.0,0.0,0.0,9,5,7,0,0.0,0.0,0.0,0.0,6.7,6.6,216,229,11.2,0.0,0.04,2022-02-12T06:00
2022-02-12T07:00,-14.6,83,-16.9,-19.1,1035.4,841.4,0.0,0.0,0.0,4,4,1,0,0.0,0.0,0.0,0.0,5.6,7.6,230,239,14.4,0.0,0.03,2022-02-12T07:00
2022-02-12T08:00,-16.7,82,-19.1,-21.4,1035.3,839.9,0.0,0.0,0.0,2,2,0,0,0.0,0.0,0.0,0.0,6.9,11.0,219,232,18.4,0.0,0.03,2022-02-12T08:00
2022-02-12T09:00,-17.5,80,-20.2,-22.8,1034.7,838.8,0.0,0.0,0.0,1,0,0,4,0.0,0.0,0.0,0.0,9.7,15.8,219,223,20.9,0.0,0.03,2022-02-12T09:00
