,time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,precipitation,rain,snowfall,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,winddirection_10m,windgusts_10m,et0_fao_evapotranspiration,vapor_pressure_deficit
0,2023-04-11T00:00,24.3,10,-9.3,19.6,1007.0,841.0,0.0,0.0,0.0,0,0,0,0,10.7,78,13.3,0.27,2.74
1,2023-04-11T01:00,22.4,10,-10.7,17.4,1008.7,841.4,0.0,0.0,0.0,0,0,0,0,11.4,72,20.5,0.19,2.44
2,2023-04-11T02:00,18.2,14,-9.8,13.9,1011.4,841.5,0.0,0.0,0.0,0,0,0,0,7.2,72,16.9,0.11,1.8
3,2023-04-11T03:00,15.7,16,-10.1,12.1,1014.8,843.0,0.0,0.0,0.0,0,0,0,0,2.6,34,8.3,0.02,1.5
4,2023-04-11T04:00,14.4,17,-10.4,9.9,1015.5,842.9,0.0,0.0,0.0,0,0,0,0,8.3,288,8.3,0.08,1.36
5,2023-04-11T05:00,12.2,19,-10.8,8.1,1016.9,842.9,0.0,0.0,0.0,0,0,0,0,5.4,132,5.4,0.04,1.15
6,2023-04-11T06:00,10.6,21,-10.9,5.8,1017.2,842.2,0.0,0.0,0.0,0,0,0,0,10.0,201,13.0,0.07,1.01
7,2023-04-11T07:00,9.7,21,-11.6,4.8,1017.6,842.1,0.0,0.0,0.0,0,0,0,0,10.1,197,19.1,0.07,0.95
8,2023-04-11T08:00,9.2,19,-13.3,4.4,1017.5,841.7,0.0,0.0,0.0,0,0,0,0,9.0,196,22.3,0.07,0.94
9,2023-04-11T09:00,9.7,17,-14.2,4.3,1015.5,840.4,0.0,0.0,0.0,0,0,0,0,12.7,172,29.5,0.09,1.0
10,2023-04-11T10:00,10.6,17,-13.5,5.2,1014.3,839.8,0.0,0.0,0.0,0,0,0,0,13.0,186,30.2,0.1,1.06
11,2023-04-11T11:00,9.7,18,-13.6,5.2,1014.6,839.6,0.0,0.0,0.0,0,0,0,0,6.5,214,15.1,0.05,0.99
12,2023-04-11T12:00,8.1,20,-13.5,3.4,1016.3,840.1,0.0,0.0,0.0,0,0,0,0,8.4,245,11.5,0.06,0.87
13,2023-04-11T13:00,7.5,21,-13.4,2.9,1016.3,839.8,0.0,0.0,0.0,0,0,0,0,7.8,193,11.5,0.03,0.82
14,2023-04-11T14:00,11.3,19,-11.6,7.3,1014.0,840.0,0.0,0.0,0.0,0,0,0,0,4.1,195,9.7,0.12,1.08
15,2023-04-11T15:00,18.0,13,-10.9,14.0,1009.5,839.8,0.0,0.0,0.0,0,0,0,0,4.6,198,9.7,0.28,1.8
16,2023-04-11T16:00,22.3,9,-12.1,19.4,1006.3,839.4,0.0,0.0,0.0,0,0,0,0,2.5,172,6.1,0.43,2.45
17,2023-04-11T17:00,25.3,7,-13.0,22.8,1003.7,838.7,0.0,0.0,0.0,0,0,0,0,5.3,152,17.3,0.58,2.99
18,2023-04-11T18:00,27.3,6,-13.5,26.1,1001.9,838.2,0.0,0.0,0.0,0,0,0,0,1.9,158,15.1,0.64,3.41
19,2023-04-11T19:00,28.6,5,-14.8,27.0,999.8,837.1,0.0,0.0,0.0,0,0,0,0,4.8,117,24.5,0.7,3.72
20,2023-04-11T20:00,29.3,4,-17.0,26.8,998.6,836.4,0.0,0.0,0.0,0,0,0,0,8.0,126,29.9,0.71,3.91
21,2023-04-11T21:00,29.3,5,-14.3,24.6,998.0,835.9,0.0,0.0,0.0,0,0,0,0,17.6,359,33.1,0.71,3.87
22,2023-04-11T22:00,29.4,6,-12.0,26.0,996.9,835.0,0.0,0.0,0.0,4,0,4,0,5.6,75,24.8,0.51,3.85
23,2023-04-11T23:00,29.0,7,-10.3,23.3,996.4,834.4,0.0,0.0,0.0,97,0,97,0,16.6,359,24.1,0.45,3.73
24,2023-04-12T00:00,27.3,8,-9.9,20.9,997.1,834.2,0.0,0.0,0.0,3,0,3,0,22.0,288,32.8,0.41,3.34
25,2023-04-12T01:00,25.2,9,-10.0,20.1,999.1,834.8,0.0,0.0,0.0,0,0,0,0,12.5,303,29.5,0.21,2.91
26,2023-04-12T02:00,21.5,11,-10.3,16.7,1001.8,835.2,0.0,0.0,0.0,1,0,1,0,10.0,64,9.7,0.15,2.28
27,2023-04-12T03:00,19.1,13,-10.0,14.3,1003.3,835.2,0.0,0.0,0.0,0,0,0,0,10.2,82,10.1,0.11,1.92
28,2023-04-12T04:00,18.5,14,-9.6,14.7,1003.5,835.1,0.0,0.0,0.0,0,0,0,0,3.7,11,4.0,0.03,1.83
29,2023-04-12T05:00,15.6,15,-11.0,11.3,1005.2,835.0,0.0,0.0,0.0,6,0,6,0,6.2,190,14.4,0.06,1.5
30,2023-04-12T06:00,14.3,16,-11.2,9.7,1005.7,834.7,0.0,0.0,0.0,0,0,0,0,8.9,148,10.1,0.08,1.37
31,2023-04-12T07:00,13.1,17,-11.4,8.7,1006.1,834.4,0.0,0.0,0.0,0,0,0,0,6.9,189,7.2,0.06,1.25
32,2023-04-12T08:00,11.8,19,-11.1,7.0,1006.5,834.0,0.0,0.0,0.0,0,0,0,0,10.1,182,13.3,0.08,1.12
33,2023-04-12T09:00,10.2,19,-12.5,5.5,1006.9,833.5,0.0,0.0,0.0,0,0,0,0,8.2,195,25.2,0.06,1.01
34,2023-04-12T10:00,12.0,16,-13.1,6.7,1005.0,832.9,0.0,0.0,0.0,0,0,0,0,12.2,178,22.3,0.1,1.18
35,2023-04-12T11:00,11.4,17,-12.9,6.2,1005.2,832.7,0.0,0.0,0.0,0,0,0,0,11.9,178,23.8,0.09,1.12
36,2023-04-12T12:00,10.5,19,-12.2,5.4,1005.6,832.6,0.0,0.0,0.0,0,0,0,0,11.2,176,24.1,0.08,1.03
37,2023-04-12T13:00,11.0,19,-11.8,5.9,1005.4,832.7,0.0,0.0,0.0,0,0,0,0,11.5,180,26.6,0.06,1.06
38,2023-04-12T14:00,16.3,15,-10.4,11.6,1001.9,832.6,0.0,0.0,0.0,0,0,0,0,10.1,178,22.3,0.18,1.58
39,2023-04-12T15:00,21.4,12,-9.2,16.3,998.3,832.2,0.0,0.0,0.0,0,0,0,0,13.0,183,23.4,0.36,2.24
40,2023-04-12T16:00,24.7,10,-9.0,19.8,995.5,831.6,0.0,0.0,0.0,0,0,0,0,16.6,178,37.1,0.54,2.8
41,2023-04-12T17:00,26.9,10,-7.3,22.5,993.3,830.8,0.0,0.0,0.0,1,0,1,0,18.9,222,32.8,0.67,3.18
42,2023-04-12T18:00,28.2,9,-7.7,24.5,991.6,830.0,0.0,0.0,0.0,5,0,5,0,17.1,242,32.0,0.74,3.47
43,2023-04-12T19:00,27.1,10,-7.1,23.4,984.7,823.7,0.0,0.0,0.0,7,0,5,0,17.8,201,29.9,0.73,3.24
44,2023-04-12T20:00,26.7,10,-7.4,21.1,983.9,822.9,0.0,0.0,0.0,100,0,100,100,18.1,227,29.5,0.52,3.16
45,2023-04-12T21:00,27.0,9,-8.6,21.8,982.9,822.2,0.0,0.0,0.0,100,0,100,100,14.5,222,23.0,0.48,3.25
46,2023-04-12T22:00,27.5,10,-6.8,24.4,981.7,821.4,0.0,0.0,0.0,100,0,100,0,6.3,193,20.2,0.5,3.31
47,2023-04-12T23:00,23.6,20,-0.6,18.5,984.8,822.1,0.1,0.05,0.0,100,0,100,100,20.1,29,18.0,0.29,2.34
48,2023-04-13T00:00,20.9,28,1.7,15.5,987.1,822.7,0.5,0.25,0.0,100,0,100,100,24.5,17,23.4,0.24,1.79
49,2023-04-13T01:00,19.9,30,1.8,15.9,987.5,822.5,0.0,0.0,0.0,100,0,100,100,15.5,22,20.9,0.18,1.63
50,2023-04-13T02:00,19.1,31,1.6,16.7,987.9,822.4,0.0,0.0,0.0,100,0,0,100,3.6,323,9.4,0.05,1.53
51,2023-04-13T03:00,18.4,34,2.3,16.3,988.3,822.4,0.0,0.0,0.0,100,0,39,100,2.6,326,1.8,0.01,1.4
52,2023-04-13T04:00,17.6,36,2.4,14.7,989.1,822.7,0.0,0.0,0.0,100,0,5,100,8.0,172,5.0,0.06,1.29
53,2023-04-13T05:00,16.6,38,2.2,13.6,988.9,822.0,0.0,0.0,0.0,43,0,33,5,8.7,197,9.7,0.06,1.18
54,2023-04-13T06:00,16.1,39,2.2,13.3,988.5,821.4,0.0,0.0,0.0,100,0,5,100,7.6,188,9.0,0.05,1.12
55,2023-04-13T07:00,15.7,38,1.4,12.7,988.1,820.9,0.0,0.0,0.0,99,0,99,5,7.7,191,14.8,0.05,1.11
56,2023-04-13T08:00,15.5,37,0.9,11.9,987.4,820.2,0.0,0.0,0.0,100,0,100,100,11.5,182,27.7,0.08,1.11
57,2023-04-13T09:00,14.9,38,0.7,11.0,987.0,819.5,0.0,0.0,0.0,100,0,100,100,13.0,194,27.7,0.08,1.05
58,2023-04-13T10:00,14.3,41,1.3,10.5,987.2,819.4,0.0,0.0,0.0,100,0,100,100,13.4,188,28.8,0.08,0.97
59,2023-04-13T11:00,13.9,43,1.6,10.2,987.3,819.3,0.0,0.0,0.0,100,0,100,100,13.1,196,30.2,0.07,0.91
60,2023-04-13T12:00,13.6,44,1.6,9.9,987.7,819.4,0.0,0.0,0.0,100,0,7,100,13.0,194,32.4,0.07,0.88
61,2023-04-13T13:00,13.3,45,1.6,9.6,987.6,819.2,0.0,0.0,0.0,100,0,0,100,12.9,207,33.1,0.09,0.84
62,2023-04-13T14:00,14.2,43,1.8,10.7,986.8,819.0,0.0,0.0,0.0,100,0,0,100,11.8,211,32.8,0.11,0.93
63,2023-04-13T15:00,15.6,39,1.7,12.2,985.8,818.9,0.0,0.0,0.0,100,0,0,100,10.9,197,28.1,0.17,1.08
64,2023-04-13T16:00,17.8,32,0.9,14.0,984.1,818.6,0.0,0.0,0.0,100,0,0,100,12.7,187,23.0,0.29,1.39
65,2023-04-13T17:00,20.4,20,-3.3,17.0,981.5,817.8,0.0,0.0,0.0,100,0,0,100,10.4,160,24.5,0.46,1.92
66,2023-04-13T18:00,22.6,13,-7.2,18.6,978.6,816.4,0.0,0.0,0.0,100,0,100,100,15.3,199,29.5,0.58,2.39
67,2023-04-13T19:00,23.6,10,-9.8,18.1,976.5,815.2,0.0,0.0,0.0,100,0,100,100,21.8,196,32.0,0.61,2.63
68,2023-04-13T20:00,24.2,10,-9.3,18.9,975.1,814.3,0.0,0.0,0.0,100,0,100,100,20.8,208,29.9,0.62,2.73
69,2023-04-13T21:00,24.0,10,-9.5,18.3,974.6,813.8,0.0,0.0,0.0,100,0,100,100,17.3,225,23.4,0.5,2.69
70,2023-04-13T22:00,23.0,13,-6.9,18.4,974.8,813.5,0.0,0.0,0.0,100,0,100,100,11.2,237,19.4,0.34,2.45
71,2023-04-13T23:00,21.8,16,-5.1,17.7,975.9,813.8,0.0,0.0,0.0,100,0,100,100,9.4,268,23.4,0.27,2.2
