Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,01/01/2022,1282,N4901U,IAD,23:10,00:01,70,76,51,23,0,6,0,22
UA,01/01/2023,604,N814UA,DEN,14:58,14:52,193,177,-6,0,0,0,0,0
UA,01/01/2023,2488,N38458,EWR,23:14,23:15,75,62,1,0,0,0,0,0
UA,01/01/2023,2645,N23721,ORD,23:57,23:47,107,100,-10,0,0,0,0,0
UA,01/02/2022,1282,N4901U,IAD,23:10,23:27,70,64,17,17,0,0,0,0
UA,01/02/2023,604,N890UA,DEN,15:01,17:36,193,217,155,40,0,24,0,91
UA,01/02/2023,1968,N23708,IAD,23:12,23:39,72,73,27,0,0,1,0,26
UA,01/02/2023,1998,N802UA,ORD,21:07,20:46,113,89,-21,0,0,0,0,0
UA,01/03/2022,1282,N893UA,IAD,23:10,23:31,70,68,21,21,0,0,0,0
UA,01/03/2023,604,N813UA,DEN,14:58,14:52,193,181,-6,0,0,0,0,0
UA,01/03/2023,1998,N854UA,ORD,21:07,21:04,113,111,-3,0,0,0,0,0
UA,01/04/2022,1282,N814UA,IAD,23:44,01:59,69,89,135,115,0,20,0,0
UA,01/04/2023,604,N407UA,DEN,14:59,14:47,193,187,-12,0,0,0,0,0
UA,01/04/2023,1998,N893UA,ORD,21:17,21:31,113,110,14,0,0,0,0,0
UA,01/05/2020,2012,N825UA,ORD,21:47,21:55,107,94,8,0,0,0,0,0
UA,01/05/2022,1282,N827UA,IAD,23:44,23:30,69,61,-14,0,0,0,0,0
UA,01/05/2023,604,N821UA,DEN,14:59,14:59,193,193,0,0,0,0,0,0
UA,01/05/2023,1998,N853UA,ORD,21:17,21:17,113,112,0,0,0,0,0,0
UA,01/06/2020,1643,N14735,ORD,21:19,21:01,109,93,-18,0,0,0,0,0
UA,01/06/2022,1282,N485UA,IAD,23:44,23:45,69,66,1,0,0,0,0,0
UA,01/06/2023,604,N855UA,DEN,14:59,14:51,193,191,-8,0,0,0,0,0
UA,01/06/2023,1998,N850UA,ORD,21:17,21:23,113,119,6,0,0,0,0,0
UA,01/07/2019,607,N810UA,ORD,20:49,20:18,109,86,-31,0,0,0,0,0
UA,01/07/2020,1643,N898UA,ORD,21:19,21:05,109,99,-14,0,0,0,0,0
UA,01/07/2022,1282,N423UA,IAD,23:44,00:01,69,78,17,8,0,9,0,0
UA,01/07/2023,604,N847UA,DEN,14:59,14:53,193,193,-6,0,0,0,0,0
UA,01/07/2023,1998,N892UA,ORD,21:17,21:56,113,105,39,0,0,0,0,39
UA,01/08/2019,607,N4888U,ORD,20:49,21:31,109,101,42,42,0,0,0,0
UA,01/08/2020,1643,N18223,ORD,21:19,21:02,109,98,-17,0,0,0,0,0
UA,01/08/2022,1282,N893UA,IAD,23:44,23:38,69,63,-6,0,0,0,0,0
UA,01/08/2023,604,N813UA,DEN,15:02,15:17,193,199,15,9,0,6,0,0
UA,01/08/2023,1998,N414UA,ORD,21:17,21:05,113,105,-12,0,0,0,0,0
UA,01/09/2019,607,N816UA,ORD,20:49,20:38,109,106,-11,0,0,0,0,0
UA,01/09/2020,1643,N13750,ORD,21:19,20:56,109,95,-23,0,0,0,0,0
UA,01/09/2022,1282,N854UA,IAD,23:44,01:26,69,72,102,99,0,3,0,0
UA,01/09/2023,604,N809UA,DEN,14:59,14:49,193,193,-10,0,0,0,0,0
UA,01/09/2023,1998,N802UA,ORD,21:17,21:01,113,104,-16,0,0,0,0,0
UA,01/09/2023,2617,N895UA,EWR,23:12,00:04,74,71,52,52,0,0,0,0
UA,01/10/2019,607,N4888U,ORD,20:49,21:14,109,121,25,13,0,12,0,0
UA,01/10/2020,1643,N17753,ORD,21:19,23:14,109,123,115,5,0,14,0,96
UA,01/10/2022,1282,N810UA,IAD,23:44,00:14,69,77,30,0,22,8,0,0
UA,01/10/2023,604,N408UA,DEN,14:59,15:37,193,190,38,38,0,0,0,0
UA,01/10/2023,1036,N78285,ORD,21:38,21:24,113,107,-14,0,0,0,0,0
UA,01/10/2023,1998,N463UA,ORD,21:17,21:05,113,108,-12,0,0,0,0,0
UA,01/10/2023,2617,N846UA,EWR,23:12,22:49,74,63,-23,0,0,0,0,0
UA,01/11/2019,607,N897UA,ORD,20:49,20:44,109,100,-5,0,0,0,0,0
UA,01/11/2020,2027,N24715,ORD,21:19,22:00,109,94,41,0,41,0,0,0
UA,01/11/2022,1282,N880UA,IAD,23:44,23:26,69,59,-18,0,0,0,0,0
UA,01/11/2023,604,N809UA,DEN,14:59,15:34,193,206,35,12,0,13,0,10
UA,01/11/2023,1998,N872UA,ORD,21:17,21:05,113,91,-12,0,0,0,0,0
UA,01/11/2023,2617,N836UA,EWR,23:12,23:08,74,63,-4,0,0,0,0,0
UA,01/12/2019,607,N832UA,ORD,20:49,21:56,109,130,67,45,0,21,0,1
UA,01/12/2020,1643,N16703,ORD,21:19,23:56,109,106,157,0,66,0,0,91
UA,01/12/2022,1282,N871UA,IAD,23:44,23:30,69,67,-14,0,0,0,0,0
UA,01/12/2023,604,N826UA,DEN,14:59,14:45,193,185,-14,0,0,0,0,0
UA,01/12/2023,1998,N873UA,ORD,21:17,21:10,113,107,-7,0,0,0,0,0
UA,01/12/2023,2617,N836UA,EWR,23:12,01:38,74,85,146,0,0,88,0,58
UA,01/13/2019,607,N837UA,ORD,20:49,20:45,109,104,-4,0,0,0,0,0
UA,01/13/2020,1643,N24715,ORD,21:19,21:01,109,90,-18,0,0,0,0,0
UA,01/13/2022,1282,N845UA,IAD,23:44,23:41,69,60,-3,0,0,0,0,0
UA,01/13/2023,604,N823UA,DEN,14:59,15:09,193,207,10,0,0,0,0,0
UA,01/13/2023,1998,N455UA,ORD,21:17,21:19,113,118,2,0,0,0,0,0
UA,01/13/2023,2617,N810UA,EWR,23:12,23:33,74,54,21,3,0,0,0,18
UA,01/14/2019,607,N820UA,ORD,20:49,20:41,109,105,-8,0,0,0,0,0
UA,01/14/2020,1643,N889UA,ORD,21:19,21:07,109,101,-12,0,0,0,0,0
UA,01/14/2022,1282,N469UA,IAD,23:44,23:37,69,72,-7,0,0,0,0,0
