,time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,precipitation,rain,snowfall,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,winddirection_10m,windgusts_10m,et0_fao_evapotranspiration,vapor_pressure_deficit
0,2023-04-11T00:00,14.2,34,-1.4,10.9,1023.5,1022.4,0.0,0.0,0.0,0,0,0,0,6.6,135,11.9,0.07,1.07
1,2023-04-11T01:00,13.1,29,-4.5,9.0,1024.5,1023.4,0.0,0.0,0.0,0,0,0,0,9.5,217,23.4,0.08,1.07
2,2023-04-11T02:00,11.8,33,-4.0,7.8,1025.6,1024.5,0.0,0.0,0.0,0,0,0,0,8.9,220,21.6,0.06,0.93
3,2023-04-11T03:00,11.0,36,-3.5,6.7,1025.7,1024.6,0.0,0.0,0.0,0,0,0,0,11.2,225,25.6,0.07,0.84
4,2023-04-11T04:00,10.4,42,-2.0,6.0,1024.7,1023.6,0.0,0.0,0.0,0,0,0,0,13.0,222,26.3,0.07,0.73
5,2023-04-11T05:00,9.6,46,-1.5,5.3,1024.5,1023.4,0.0,0.0,0.0,0,0,0,0,13.7,225,24.8,0.07,0.65
6,2023-04-11T06:00,8.8,50,-1.1,4.7,1023.5,1022.4,0.0,0.0,0.0,0,0,0,0,12.3,230,22.0,0.05,0.57
7,2023-04-11T07:00,8.1,53,-1.0,4.2,1023.5,1022.4,0.0,0.0,0.0,0,0,0,0,10.9,226,19.1,0.04,0.51
8,2023-04-11T08:00,7.5,53,-1.5,3.6,1022.8,1021.7,0.0,0.0,0.0,0,0,0,0,11.0,232,18.4,0.04,0.49
9,2023-04-11T09:00,7.2,53,-1.7,3.2,1022.6,1021.5,0.0,0.0,0.0,8,0,8,0,11.2,230,17.6,0.04,0.48
10,2023-04-11T10:00,6.9,52,-2.3,2.8,1022.4,1021.3,0.0,0.0,0.0,0,0,0,0,10.9,226,17.3,0.04,0.48
11,2023-04-11T11:00,6.8,54,-1.9,3.0,1022.6,1021.5,0.0,0.0,0.0,3,0,0,3,9.7,222,16.2,0.02,0.46
12,2023-04-11T12:00,10.1,47,-0.8,6.4,1022.2,1021.1,0.0,0.0,0.0,15,0,0,15,9.9,226,18.4,0.12,0.65
13,2023-04-11T13:00,14.6,35,-0.7,11.0,1021.8,1020.7,0.0,0.0,0.0,64,0,2,64,9.1,236,20.9,0.24,1.08
14,2023-04-11T14:00,18.1,29,-0.2,14.7,1021.1,1020.0,0.0,0.0,0.0,49,0,0,49,12.0,224,21.2,0.39,1.48
15,2023-04-11T15:00,20.4,26,0.3,17.6,1020.8,1019.7,0.0,0.0,0.0,100,0,11,100,13.3,218,19.1,0.5,1.78
16,2023-04-11T16:00,22.5,20,-1.6,19.5,1019.8,1018.7,0.0,0.0,0.0,58,0,0,58,15.8,229,24.5,0.6,2.18
