,time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,precipitation,rain,snowfall,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,winddirection_10m,windgusts_10m,et0_fao_evapotranspiration,vapor_pressure_deficit
0,2023-04-11T00:00,14.2,22,-7.2,10.2,1031.7,1016.9,0.0,0.0,0.0,0,0,0,0,7.2,273,8.6,0.09,1.27
1,2023-04-11T01:00,12.0,31,-4.6,7.6,1031.8,1016.9,0.0,0.0,0.0,0,0,0,0,11.6,158,21.6,0.08,0.97
2,2023-04-11T02:00,10.9,37,-3.2,6.6,1032.7,1017.7,0.0,0.0,0.0,0,0,0,0,11.7,162,24.5,0.07,0.82
3,2023-04-11T03:00,10.3,40,-2.7,6.0,1033.4,1018.3,0.0,0.0,0.0,0,0,0,0,12.4,163,25.6,0.07,0.75
4,2023-04-11T04:00,9.8,41,-2.8,5.3,1032.4,1017.3,0.0,0.0,0.0,0,0,0,0,13.7,178,27.0,0.07,0.72
5,2023-04-11T05:00,9.2,43,-2.7,4.8,1031.7,1016.6,0.0,0.0,0.0,0,0,0,0,13.3,183,25.2,0.07,0.67
6,2023-04-11T06:00,8.5,45,-2.7,4.1,1030.9,1015.8,0.0,0.0,0.0,0,0,0,0,13.2,191,25.9,0.06,0.61
7,2023-04-11T07:00,8.1,46,-2.8,3.6,1031.4,1016.2,0.0,0.0,0.0,0,0,0,0,13.4,194,27.0,0.06,0.58
8,2023-04-11T08:00,7.1,48,-3.2,3.1,1030.2,1015.0,0.0,0.0,0.0,0,0,0,0,9.7,202,23.4,0.04,0.53
9,2023-04-11T09:00,5.8,49,-4.1,2.4,1030.0,1014.7,0.0,0.0,0.0,0,0,0,0,5.0,180,19.1,0.02,0.47
10,2023-04-11T10:00,4.9,50,-4.7,1.1,1030.0,1014.7,0.0,0.0,0.0,0,0,0,0,7.4,129,17.6,0.03,0.43
11,2023-04-11T11:00,4.2,53,-4.6,0.2,1030.5,1015.2,0.0,0.0,0.0,0,0,0,0,8.3,162,18.7,0.04,0.39
12,2023-04-11T12:00,7.3,51,-2.2,4.4,1030.5,1015.3,0.0,0.0,0.0,0,0,0,0,3.0,194,13.7,0.07,0.5
13,2023-04-11T13:00,11.7,38,-2.2,8.4,1029.8,1014.9,0.0,0.0,0.0,0,0,0,0,5.6,225,8.6,0.2,0.85
14,2023-04-11T14:00,15.1,32,-1.5,12.3,1029.6,1014.8,0.0,0.0,0.0,2,0,0,2,6.5,273,17.6,0.34,1.17
15,2023-04-11T15:00,18.0,28,-0.8,16.0,1029.2,1014.6,0.0,0.0,0.0,90,0,0,90,8.0,278,17.3,0.46,1.49
16,2023-04-11T16:00,20.8,25,0.1,19.3,1028.1,1013.6,0.0,0.0,0.0,83,0,83,64,9.4,272,15.5,0.56,1.85
17,2023-04-11T17:00,22.5,18,-3.0,20.3,1026.9,1012.5,0.0,0.0,0.0,13,0,0,13,12.3,277,17.6,0.63,2.23
18,2023-04-11T18:00,23.1,16,-4.1,20.5,1026.0,1011.7,0.0,0.0,0.0,44,0,0,44,13.1,279,23.0,0.63,2.38
