,time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,precipitation,rain,snowfall,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,winddirection_10m,windgusts_10m,et0_fao_evapotranspiration,vapor_pressure_deficit
0,2023-04-11T00:00,19.1,26,-0.9,15.5,1023.4,1000.0,0.0,0.0,0.0,0,0,0,0,9.5,189,19.1,0.13,1.64
1,2023-04-11T01:00,16.4,32,-0.3,12.9,1023.6,1000.0,0.0,0.0,0.0,0,0,0,0,8.8,171,18.0,0.1,1.27
2,2023-04-11T02:00,14.8,36,-0.1,11.3,1024.7,1001.0,0.0,0.0,0.0,0,0,0,0,9.2,169,21.2,0.07,1.08
3,2023-04-11T03:00,13.4,42,0.7,10.1,1025.8,1001.9,0.0,0.0,0.0,0,0,0,0,8.6,178,17.3,0.05,0.89
4,2023-04-11T04:00,12.2,47,1.2,8.9,1025.5,1001.5,0.0,0.0,0.0,8,0,0,8,8.7,173,19.1,0.05,0.75
5,2023-04-11T05:00,11.5,49,1.1,8.2,1024.8,1000.8,0.0,0.0,0.0,0,0,0,0,8.7,187,23.8,0.04,0.69
6,2023-04-11T06:00,10.9,46,-0.3,7.3,1025.0,1000.9,0.0,0.0,0.0,6,0,0,6,9.5,191,27.7,0.05,0.71
7,2023-04-11T07:00,10.3,49,-0.0,6.8,1025.0,1000.9,0.0,0.0,0.0,11,0,0,11,8.9,201,28.8,0.04,0.64
8,2023-04-11T08:00,9.9,54,1.0,6.5,1024.8,1000.7,0.0,0.0,0.0,79,0,0,79,9.8,216,27.4,0.04,0.56
9,2023-04-11T09:00,9.4,59,1.8,6.1,1024.1,999.9,0.0,0.0,0.0,22,0,0,22,10.2,222,25.9,0.03,0.48
10,2023-04-11T10:00,9.0,63,2.3,5.7,1024.3,1000.1,0.0,0.0,0.0,26,0,0,26,10.4,224,25.9,0.03,0.43
11,2023-04-11T11:00,8.8,63,2.1,5.4,1024.9,1000.7,0.0,0.0,0.0,26,0,0,26,10.7,228,27.4,0.03,0.42
12,2023-04-11T12:00,9.1,63,2.4,5.8,1025.4,1001.2,0.0,0.0,0.0,28,0,0,28,10.4,226,26.6,0.03,0.43
13,2023-04-11T13:00,11.8,58,3.8,8.5,1024.7,1000.7,0.0,0.0,0.0,30,0,0,30,12.3,232,26.3,0.12,0.58
14,2023-04-11T14:00,15.3,53,5.7,11.9,1024.5,1000.8,0.0,0.0,0.0,80,0,0,80,15.4,237,37.1,0.23,0.82
15,2023-04-11T15:00,18.3,48,7.1,15.7,1024.0,1000.6,0.0,0.0,0.0,100,0,2,100,15.1,237,33.1,0.37,1.09
16,2023-04-11T16:00,21.0,41,7.2,18.8,1023.2,1000.0,0.0,0.0,0.0,100,0,42,100,17.6,239,29.5,0.48,1.47
17,2023-04-11T17:00,22.7,36,6.8,20.4,1022.4,999.3,0.0,0.0,0.0,100,0,100,100,19.5,245,29.9,0.56,1.76
18,2023-04-11T18:00,24.1,31,5.9,21.3,1020.8,997.9,0.0,0.0,0.0,89,0,89,50,20.4,249,29.5,0.59,2.07
19,2023-04-11T19:00,24.8,31,6.5,22.3,1019.9,997.1,0.0,0.0,0.0,82,1,47,82,20.5,246,29.5,0.6,2.16
20,2023-04-11T20:00,25.4,32,7.5,22.7,1019.6,996.8,0.0,0.0,0.0,100,4,3,100,20.3,245,29.2,0.57,2.2
21,2023-04-11T21:00,25.5,30,6.6,21.7,1018.7,995.9,0.0,0.0,0.0,100,5,6,100,21.1,245,30.6,0.5,2.28
22,2023-04-11T22:00,25.4,30,6.5,21.4,1017.9,995.1,0.0,0.0,0.0,100,6,0,100,20.8,244,31.7,0.4,2.26
23,2023-04-11T23:00,24.9,31,6.6,21.6,1017.4,994.6,0.0,0.0,0.0,100,18,21,100,16.1,254,27.4,0.27,2.17
24,2023-04-12T00:00,23.0,34,6.3,20.2,1017.5,994.6,0.0,0.0,0.0,100,14,8,100,12.5,231,27.4,0.16,1.86
25,2023-04-12T01:00,20.3,41,6.6,18.1,1017.8,994.7,0.0,0.0,0.0,100,0,60,100,8.7,228,24.1,0.1,1.4
26,2023-04-12T02:00,19.3,41,5.7,16.7,1017.4,994.2,0.0,0.0,0.0,100,0,34,100,10.4,226,27.4,0.08,1.32
27,2023-04-12T03:00,18.0,46,6.2,15.8,1017.3,994.0,0.0,0.0,0.0,100,0,100,100,8.7,218,27.7,0.06,1.12
28,2023-04-12T04:00,17.8,46,6.0,15.2,1017.5,994.2,0.0,0.0,0.0,100,0,100,100,11.0,218,26.6,0.07,1.1
29,2023-04-12T05:00,17.1,49,6.3,14.4,1017.1,993.7,0.0,0.0,0.0,100,0,95,100,12.2,225,28.4,0.07,1.0
30,2023-04-12T06:00,16.4,51,6.2,13.8,1016.4,993.0,0.0,0.0,0.0,100,0,38,100,11.2,225,27.4,0.06,0.91
31,2023-04-12T07:00,15.9,52,6.1,13.1,1016.3,992.8,0.0,0.0,0.0,100,0,8,100,12.2,227,27.4,0.06,0.87
32,2023-04-12T08:00,15.3,53,5.8,12.6,1016.3,992.8,0.0,0.0,0.0,100,0,0,100,11.2,225,27.4,0.06,0.82
33,2023-04-12T09:00,15.0,53,5.5,12.1,1016.0,992.5,0.0,0.0,0.0,100,0,0,100,12.5,221,28.1,0.06,0.8
