,time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,precipitation,rain,snowfall,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,winddirection_10m,windgusts_10m,et0_fao_evapotranspiration,vapor_pressure_deficit
0,2023-04-11T00:00,14.6,25,-5.2,10.9,1023.2,1008.3,0.0,0.0,0.0,0,0,0,0,6.4,286,7.9,0.08,1.25
1,2023-04-11T01:00,12.0,32,-4.2,8.8,1023.8,1008.7,0.0,0.0,0.0,10,0,10,2,3.3,311,6.8,0.02,0.95
2,2023-04-11T02:00,11.3,33,-4.4,7.8,1024.2,1009.1,0.0,0.0,0.0,100,0,100,95,5.4,172,5.4,0.04,0.9
3,2023-04-11T03:00,11.3,33,-4.4,8.4,1024.5,1009.4,0.0,0.0,0.0,100,0,100,4,1.1,162,1.4,0.0,0.9
4,2023-04-11T04:00,10.7,33,-4.9,7.5,1023.1,1008.0,0.0,0.0,0.0,100,0,100,0,3.3,174,3.2,0.02,0.87
5,2023-04-11T05:00,10.3,33,-5.3,6.4,1022.4,1007.3,0.0,0.0,0.0,59,0,59,0,7.6,161,7.9,0.05,0.84
6,2023-04-11T06:00,8.5,36,-5.7,4.7,1021.7,1006.5,0.0,0.0,0.0,16,0,0,16,6.9,171,10.8,0.04,0.71
7,2023-04-11T07:00,8.0,38,-5.5,4.5,1022.2,1006.9,0.0,0.0,0.0,88,0,0,88,4.5,209,9.4,0.02,0.67
8,2023-04-11T08:00,7.1,42,-4.9,3.9,1022.2,1006.9,0.0,0.0,0.0,97,0,2,97,2.9,150,8.6,0.01,0.59
9,2023-04-11T09:00,7.0,42,-5.0,3.0,1021.3,1006.0,0.0,0.0,0.0,100,0,10,100,8.7,173,13.3,0.04,0.58
10,2023-04-11T10:00,6.8,42,-5.2,2.7,1020.7,1005.4,0.0,0.0,0.0,82,0,82,69,9.4,173,13.0,0.05,0.58
11,2023-04-11T11:00,6.7,40,-5.9,2.6,1021.0,1005.7,0.0,0.0,0.0,60,0,53,60,8.6,165,11.2,0.02,0.59
