Date,Day,Origin Airport,Flight Number,Arrival Time,"Status (Early, On-time, Late, Severly Late)"
4/12/23,Wednesday,ORD,UA 3839,10:00 AM,
4/12/23,Wednesday,ORD,UA 3524,4:52 PM,
4/12/23,Wednesday,ORD,UA 538,9:34 PM,
4/13/23,Thursday,ORD,UA 3839,10:00 AM,
4/13/23,Thursday,ORD,UA 3524,4:50 PM,
4/13/23,Thursday,ORD,UA 538,9:34 PM,
4/14/23,Friday,ORD,UA 3839,10:00 AM,
4/14/23,Friday,ORD,UA 3524,4:50 PM,
4/14/23,Friday,ORD,UA 538,9:34 PM,
4/15/23,Saturday,ORD,UA 3839,10:00 AM,
4/15/23,Saturday,ORD,UA 3524,4:50 PM,
4/15/23,Saturday,ORD,UA 538,9:34 PM,
4/12/23,Wednesday,DEN,UA 604,3:12 PM,
4/13/23,Thursday,DEN,UA 604,3:12 PM,
4/14/23,Friday,DEN,UA 604,3:12 PM,
4/15/23,Saturday,DEN,UA 604,3:12 PM,
4/12/23,Wednesday,EWR,UA 4189,10:46 AM,
4/12/23,Wednesday,EWR,UA 1412,11:42 PM,
4/13/23,Thursday,EWR,UA 4189,10:46 AM,
4/13/23,Thursday,EWR,UA 1412,11:42 PM,
4/14/23,Friday,EWR,UA 4189,10:46 AM,
4/14/23,Friday,EWR,UA 1412,11:42 PM,
4/15/23,Saturday,EWR,UA 4189,10:46 AM,
4/15/23,Saturday,EWR,UA 1412,11:17 PM,
4/12/23,Wednesday,IAD,UA 4490,1:57 PM,
4/12/23,Wednesday,IAD,UA 4165,6:59 PM,
4/13/23,Thursday,IAD,UA 4490,1:57 PM,
4/13/23,Thursday,IAD,UA 4165,6:59 PM,
4/14/23,Friday,IAD,UA 4490,1:57 PM,
4/14/23,Friday,IAD,UA 4165,6:59 PM,
4/15/23,Saturday,IAD,UA 3805,1:58 PM,
4/15/23,Saturday,IAD,UA 4165,6:59 PM,
