time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa)
2023-04-11T00:00,13.5,20,-9.1,9.3,1020.1,844.7,0,0,0,0,0,0,0,6.9,276,6.8,0.06,1.24
2023-04-11T01:00,11.5,24,-8.4,6,1020.8,844.2,0,0,0,0,0,0,0,16.3,332,20.5,0.11,1.03
2023-04-11T02:00,10.2,29,-7.1,6.2,1021.7,844.2,0,0,0,0,0,0,0,6.8,183,6.8,0.04,0.88
2023-04-11T03:00,8.9,29,-8.2,4.3,1022.5,844.1,0,0,0,0,0,0,0,10.2,198,16.9,0.06,0.81
2023-04-11T04:00,8.6,25,-10.4,3.7,1021.8,843.4,0,0,0,0,0,0,0,10.8,217,18,0.07,0.84
2023-04-11T05:00,7.9,22,-12.6,3.9,1021.6,842.8,0,0,0,0,0,0,0,4,243,8.6,0.02,0.83
2023-04-11T06:00,7.1,32,-8.5,1.7,1021.5,842.3,0,0,0,0,0,0,0,16.1,207,25.9,0.08,0.69
2023-04-11T07:00,8.7,29,-8.4,3.8,1019,841.1,0,0,0,0,0,0,0,12.3,195,25.2,0.07,0.8
2023-04-11T08:00,6.9,28,-10.4,2.5,1020,840.9,0,0,0,0,0,0,0,7.8,193,14.4,0.04,0.72
2023-04-11T09:00,7.4,28,-10,2.9,1019.6,840.9,0,0,0,0,0,0,0,8.7,197,10.8,0.03,0.74
2023-04-11T10:00,11.2,25,-8.1,7.4,1017.3,841.1,0,0,0,0,0,0,0,4.8,167,9.7,0.12,1
2023-04-11T11:00,17.1,20,-6.1,12.8,1013.4,841.1,0,0,0,0,0,0,0,9.8,204,19.8,0.31,1.56
2023-04-11T12:00,22.6,12,-8.2,19.3,1009.4,840.6,0,0,0,0,0,0,0,6.9,223,10.4,0.46,2.42
2023-04-11T13:00,25.5,10,-8.3,24.2,1007.2,840.3,0,0,0,0,0,0,0,1.5,225,14.4,0.56,2.94
2023-04-11T14:00,27.6,8,-9.7,26.5,1005.4,839.8,0,0,0,0,0,0,0,2.6,344,10.1,0.65,3.4
2023-04-11T15:00,28.5,7,-10.7,26.2,1003.7,838.8,0,0,0,0,0,0,0,9.5,53,19.1,0.73,3.62
2023-04-11T16:00,29.3,6,-12,27.6,1002,837.8,0,0,0,0,0,0,0,4.9,17,26.6,0.68,3.84
2023-04-11T17:00,29.8,8,-8,26.4,1001,837.2,0,0,0,0,0,0,0,12.9,36,34.9,0.68,3.87
2023-04-11T18:00,29.4,8,-8.3,24.2,1000.4,836.5,0,0,0,0,0,0,0,19,27,35.6,0.63,3.77
2023-04-11T19:00,29.6,9,-6.6,24,999.6,835.9,0,0,0,4,0,4,0,18.6,32,24.8,0.51,3.78
2023-04-11T20:00,28.3,9,-7.6,23.9,1000.6,836.1,0,0,0,99,0,99,0,9.2,315,19.1,0.28,3.5
2023-04-11T21:00,26.1,11,-6.7,21.5,1002,836.2,0,0,0,61,0,61,0,11.5,316,20.9,0.2,3.02
2023-04-11T22:00,22.2,14,-6.6,18.2,1004.8,836.6,0,0,0,48,0,48,0,6.9,9,10.8,0.11,2.3
2023-04-11T23:00,19.2,16,-7.3,14.9,1006.9,836.8,0,0,0,0,0,0,0,8.7,330,17.6,0.09,1.87
2023-04-12T00:00,17.5,15,-9.4,12.8,1008.3,837.1,0,0,0,0,0,0,0,10.5,239,18.7,0.11,1.71
2023-04-12T01:00,15.1,19,-8.4,10.6,1009.6,836.9,0,0,0,0,0,0,0,9.8,197,12.2,0.09,1.4
2023-04-12T02:00,14.2,21,-7.9,9.2,1009.8,836.5,0,0,0,0,0,0,0,12.8,232,16.6,0.1,1.28
2023-04-12T03:00,12.5,22,-8.6,8.1,1011.1,836.7,0,0,0,0,0,0,0,8.8,171,15.1,0.07,1.13
