time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa)
2022-02-10T00:00,-4,78,-7.2,-8.3,1023.8,838.6,0,0,0,59,16,74,0,8.9,40,17.6,0,0.1
2022-02-10T01:00,-5,79,-8.1,-9,1024.6,838.7,0,0,0,35,14,38,0,6.4,286,20.2,0,0.09
2022-02-10T02:00,-4.7,76,-8.3,-8.8,1025,839.2,0,0,0,34,21,25,0,6.4,243,22.3,0,0.1
2022-02-10T03:00,-4.6,85,-6.7,-8.8,1023.9,838.4,0.3,0.2,0.07,15,11,9,0,8.6,237,14.8,0,0.06
2022-02-10T04:00,-5.6,86,-7.6,-10,1023.1,837.1,0,0,0,8,5,6,0,9.2,231,17.3,0,0.06
2022-02-10T05:00,-6.6,85,-8.7,-11.2,1021.8,835.4,0,0,0,5,3,4,0,10.2,225,19.4,0,0.06
2022-02-10T06:00,-7.1,83,-9.5,-11.6,1020.9,834.4,0,0,0,22,16,12,0,8.9,227,22,0,0.06
2022-02-10T07:00,-7.6,82,-10.2,-12.1,1019.7,833.1,0,0,0,13,12,4,0,8.8,215,23.4,0,0.06
2022-02-10T08:00,-7.6,79,-10.6,-12.1,1019.4,832.8,0,0,0,19,16,7,0,8.3,214,24.8,0,0.07
2022-02-10T09:00,-7.4,77,-10.7,-12,1018.8,832.5,0,0,0,17,13,5,6,9,217,26.6,0,0.08
2022-02-10T10:00,-6.5,75,-10.3,-11.6,1017.9,832.3,0,0,0,3,2,2,0,12.3,220,30.6,0.01,0.1
2022-02-10T11:00,-4.7,71,-9.1,-9.7,1017.3,832.9,0,0,0,0,0,0,0,12.8,218,33.5,0.02,0.13
2022-02-10T12:00,-1.1,65,-6.9,-6,1016.4,834.3,0,0,0,1,1,0,0,13.3,218,33.1,0.07,0.2
2022-02-10T13:00,2.9,57,-4.8,-1.7,1015.1,835.6,0,0,0,27,0,0,90,12.6,211,31.3,0.15,0.33
2022-02-10T14:00,5.9,51,-3.5,1.3,1014,836.4,0,0,0,28,3,3,78,13.9,190,31,0.22,0.45
2022-02-10T15:00,7.2,51,-2.2,2.9,1012.2,835.7,0,0,0,49,2,32,93,13.8,189,27.4,0.25,0.5
2022-02-10T16:00,8.1,49,-1.9,4.1,1010.7,834.9,0,0,0,30,1,0,98,14,181,28.1,0.27,0.55
2022-02-10T17:00,8.4,49,-1.8,4.2,1009.8,834.3,0,0,0,23,3,0,67,13.8,173,28.8,0.26,0.56
2022-02-10T18:00,7.7,52,-1.5,4.4,1007.8,832.3,0,0,0,14,1,21,0,7,168,26.6,0.22,0.51
2022-02-10T19:00,7.2,53,-1.8,4.1,1007.8,832,0,0,0,9,5,2,10,5.1,98,27.7,0.14,0.48
2022-02-10T20:00,6.3,54,-2.3,3.5,1007.8,831.5,0,0,0,24,6,1,61,2.9,187,30.6,0.05,0.44
2022-02-10T21:00,5.3,57,-2.7,2.1,1007.8,830.9,0,0,0,26,0,0,87,4.8,222,36.7,0.02,0.39
2022-02-10T22:00,4.7,59,-2.8,1.3,1008.4,831.1,0,0,0,24,2,1,72,6.2,216,40.7,0.01,0.36
2022-02-10T23:00,4.4,59,-3,0.1,1008.2,830.8,0,0,0,3,0,0,11,11.7,214,42.1,0.03,0.34
2022-02-11T00:00,4.1,59,-3.3,-1,1008.4,830.8,0,0,0,14,0,0,48,16.9,196,37.8,0.04,0.34
2022-02-11T01:00,3.4,59,-3.8,-1.9,1008.1,830.1,0,0,0,14,0,0,45,18.4,191,28.8,0.04,0.32
2022-02-11T02:00,1.6,64,-4.5,-3.3,1007.2,828.4,0,0,0,7,0,0,23,15,190,18.4,0.03,0.25
2022-02-11T03:00,1.3,59,-5.8,-2.8,1007.5,828.4,0,0,0,22,0,0,73,9,185,23,0.02,0.28
2022-02-11T04:00,4.4,41,-7.9,0.4,1008.2,830.8,0,0,0,26,1,0,84,6.2,159,17.6,0.02,0.5
2022-02-11T05:00,4.6,39,-8.3,0.7,1008.8,831.4,0,0,0,19,5,0,48,5.8,277,11.2,0.02,0.52
2022-02-11T06:00,-1.9,58,-9.1,-5.9,1010,828.6,0,0,0,10,1,0,30,6,213,13.3,0.01,0.23
2022-02-11T07:00,-4.1,66,-9.6,-7.7,1011.1,828.2,0,0,0,3,3,0,0,2.9,210,13.3,0,0.16
2022-02-11T08:00,-2.5,63,-8.7,-6.2,1014.7,832.1,0,0,0,2,2,1,0,4,80,14,0,0.19
2022-02-11T09:00,-2.2,62,-8.5,-6,1018.7,835.6,0,0,0,7,4,4,2,4.6,72,16.9,0,0.2
2022-02-11T10:00,-1.9,62,-8.1,-6.6,1022,838.5,0,0,0,4,2,4,0,11.5,346,12.2,0.02,0.2
2022-02-11T11:00,-0.9,60,-7.8,-4.9,1023.4,840.2,0,0,0,4,2,3,0,7,325,14.4,0.02,0.23
2022-02-11T12:00,-4.4,75,-8.2,-8.2,1024.4,838.9,0,0,0,17,11,12,0,5.1,4,20.5,0.06,0.11
2022-02-11T13:00,-0.9,75,-4.9,-5,1024.4,841,0,0,0,58,38,39,0,9,23,28.4,0.12,0.15
2022-02-11T14:00,0.3,74,-3.8,-4.5,1024.9,842.1,0,0,0,100,74,71,0,15,27,38.5,0.14,0.16
2022-02-11T15:00,-1.2,75,-5.1,-6.5,1025.6,841.8,0.2,0,0.14,100,94,98,0,16.9,29,39.2,0.12,0.14
2022-02-11T16:00,-1.9,74,-6,-6.8,1026,841.7,0.3,0,0.21,100,80,99,0,13.8,28,34.9,0.11,0.14
2022-02-11T17:00,-2.2,73,-6.4,-6.5,1026.2,841.7,0.3,0,0.21,100,92,99,0,9.3,28,28.8,0.12,0.14
2022-02-11T18:00,-2.7,75,-6.5,-6.1,1028.5,843.3,0.4,0,0.28,100,89,100,3,3.6,360,23.4,0.07,0.13
2022-02-11T19:00,-3.1,78,-6.3,-6.6,1028.7,843.2,0.6,0,0.42,100,76,100,12,4.2,290,19.4,0.05,0.11
2022-02-11T20:00,-3.8,84,-6.1,-7.1,1029.8,843.7,0.6,0,0.42,100,58,100,47,3.3,221,15.5,0.02,0.08
2022-02-11T21:00,-4.2,84,-6.4,-7.7,1031.3,844.7,0.5,0,0.35,100,49,100,33,4.2,200,13,0.01,0.07
2022-02-11T22:00,-5,85,-7.1,-8.5,1033.1,845.7,0.3,0,0.21,100,48,100,37,3.8,197,9.7,0,0.06
2022-02-11T23:00,-6.2,86,-8.2,-9.6,1033.7,845.4,0.2,0,0.14,100,41,100,21,2.2,180,10.1,0,0.05
2022-02-12T00:00,-6.4,83,-8.8,-10.7,1035.1,846.4,0.2,0,0.14,100,60,100,15,8,82,13.7,0,0.06
2022-02-12T01:00,-5.6,78,-8.8,-9.8,1036.3,847.9,0.1,0,0.07,84,27,100,0,7.3,81,10.1,0,0.09
2022-02-12T02:00,-6.7,79,-9.7,-10.2,1036.9,847.7,0.1,0,0.07,79,26,93,0,1.8,143,7.9,0,0.08
2022-02-12T03:00,-8.1,90,-9.5,-11.9,1037.4,847.2,0.1,0,0.07,89,46,80,0,4.5,209,9.7,0,0.03
2022-02-12T04:00,-10,89,-11.4,-14.6,1037,845.7,0,0,0,71,41,57,0,8.9,227,10.8,0,0.03
2022-02-12T05:00,-11,87,-12.8,-15.8,1036.1,844.3,0,0,0,35,24,22,0,9.7,243,10.1,0,0.04
2022-02-12T06:00,-12.5,85,-14.5,-17,1036.2,843.4,0,0,0,9,5,7,0,6.7,216,11.2,0,0.04
2022-02-12T07:00,-14.6,83,-16.9,-19.1,1035.4,841.4,0,0,0,4,4,1,0,5.6,230,14.4,0,0.03
2022-02-12T08:00,-16.7,82,-19.1,-21.4,1035.3,839.9,0,0,0,2,2,0,0,6.9,219,18.4,0,0.03
2022-02-12T09:00,-17.5,80,-20.2,-22.8,1034.7,838.8,0,0,0,1,0,0,4,9.7,219,20.9,0,0.03
2022-02-12T10:00,-18,77,-21,-23.5,1034.1,838.1,0,0,0,13,0,0,43,11.3,217,21.6,0,0.03
2022-02-12T11:00,-16.9,73,-20.6,-22.6,1034,838.7,0,0,0,9,0,0,29,13.1,217,23.8,0.01,0.04
2022-02-12T12:00,-13,67,-17.8,-18.3,1033.5,840.9,0,0,0,17,0,8,40,11.3,217,22.3,0.04,0.07
2022-02-12T13:00,-7.7,63,-13.4,-12.3,1032.5,843.5,0,0,0,16,0,0,52,8.2,221,17.6,0.1,0.13
2022-02-12T14:00,-1.8,52,-10.3,-5.8,1030.6,845.6,0,0,0,6,0,8,4,6.1,225,13.7,0.18,0.26
2022-02-12T15:00,1.1,43,-10.2,-2.2,1027.6,844.8,0,0,0,1,0,2,0,6,237,12.6,0.24,0.38
2022-02-12T16:00,2.4,47,-7.7,-0.6,1025,843.5,0,0,0,13,0,21,0,5.8,263,11.9,0.26,0.38
2022-02-12T17:00,3.2,44,-7.9,0,1023.2,842.4,0,0,0,41,0,68,0,4.4,279,11.9,0.25,0.43
2022-02-12T18:00,5,21,-15.6,0.9,1023.3,843.6,0,0,0,35,0,55,6,3.4,252,9.4,0.21,0.69
2022-02-12T19:00,4.7,27,-12.8,0.6,1022.8,843,0,0,0,17,0,9,39,4.2,20,9.7,0.12,0.62
2022-02-12T20:00,3.8,30,-12.3,-0.6,1023.7,843.2,0,0,0,9,0,1,27,7.1,30,9,0.07,0.57
