time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h)
2023-04-11T00:00,9.6,47,-1.2,6.1,0,0,0,1027.2,1016.5,0,0,0,0,0.04,0.63,8.3,180,21.2
2023-04-11T01:00,8.7,50,-1.2,5.4,0,0,0,1026.9,1016.1,0,0,0,0,0.03,0.56,6.9,189,19.8
2023-04-11T02:00,8.3,49,-1.8,4.7,0,0,0,1026.6,1015.8,0,0,0,0,0.03,0.56,8,188,19.1
2023-04-11T03:00,7.4,51,-2.1,3.7,0,0,0,1025.8,1015,0,0,0,0,0.03,0.5,8.2,195,19.8
2023-04-11T04:00,6.1,59,-1.4,2.9,0,0,0,1025.5,1014.7,0,0,0,0,0.01,0.39,5.9,191,16.9
2023-04-11T05:00,5.5,58,-2.1,2.1,0,0,0,1025.2,1014.3,0,0,0,0,0.02,0.38,6.5,174,17.3
2023-04-11T06:00,5.1,59,-2.3,1.8,0,0,0,1025,1014.1,0,0,0,0,0.01,0.36,5.2,164,11.5
2023-04-11T07:00,4.7,59,-2.7,1.7,0,0,0,1025.3,1014.4,0,0,0,0,0.02,0.35,2.9,150,6.5
2023-04-11T08:00,7.4,57,-0.6,4.3,0,0,0,1025.4,1014.6,0,0,0,0,0.07,0.44,5.9,169,10.8
2023-04-11T09:00,10.4,51,0.7,7.9,0,0,0,1025.3,1014.6,0,0,0,0,0.19,0.62,3.6,174,6.1
2023-04-11T10:00,14.6,39,0.7,12.5,0,0,0,1024.9,1014.4,0,0,0,0,0.32,1.01,3.3,193,12.2
2023-04-11T11:00,17.6,36,2.3,16.5,0,0,0,1024.7,1014.3,0,0,0,0,0.45,1.29,5.4,270,14
2023-04-11T12:00,20.8,32,3.5,20.6,0,0,0,1023.8,1013.5,0,0,0,0,0.55,1.67,5.4,266,11.5
2023-04-11T13:00,22.9,17,-3.5,20.9,0,0,0,1022.3,1012.1,0,0,0,0,0.63,2.31,10.9,297,19.4
2023-04-11T14:00,23.6,17,-2.9,21.6,0,0,0,1021.3,1011.1,0,0,0,0,0.63,2.42,10.8,285,19.8
2023-04-11T15:00,24.6,17,-2.1,21.6,0,0,0,1020,1009.9,0,0,0,0,0.61,2.57,14.5,263,27.4
2023-04-11T16:00,25.1,16,-2.5,21.2,0,0,0,1019.1,1009,0,0,0,0,0.54,2.68,15.1,252,26.3
2023-04-11T17:00,25.1,17,-1.7,20.6,0,0,0,1018.2,1008.1,0,0,0,0,0.44,2.64,14.1,238,27
2023-04-11T18:00,25.3,13,-5.1,21,0,0,0,1017.5,1007.4,78,0,0,78,0.29,2.81,10.5,254,23.8
2023-04-11T19:00,23.7,14,-5.4,19.8,0,0,0,1017.4,1007.3,99,0,99,81,0.16,2.52,7.2,243,23.8
2023-04-11T20:00,20.5,19,-4,16.6,0,0,0,1017.5,1007.3,57,0,1,57,0.13,1.95,8.2,232,12.6
2023-04-11T21:00,18.2,25,-2.2,15.1,0,0,0,1018.1,1007.8,74,0,8,74,0.04,1.56,4,175,9.4
2023-04-11T22:00,16.2,30,-1.4,13.1,0,0,0,1018.4,1008,10,0,10,2,0.04,1.29,5,159,6.5
2023-04-11T23:00,15.1,30,-2.4,11.8,0,0,0,1018.3,1007.9,42,0,9,42,0.04,1.2,5.1,135,7.2
2023-04-12T00:00,13.3,31,-3.5,9.5,0,0,0,1018.1,1007.6,13,0,13,0,0.06,1.05,8,153,10.8
2023-04-12T01:00,12.5,37,-1.8,9.8,0,0,0,1017.8,1007.3,9,0,9,2,0,0.91,1.9,22,8.6
2023-04-12T02:00,12,33,-3.8,8.6,0,0,0,1017.2,1006.7,99,0,99,36,0.03,0.94,5,201,14
2023-04-12T03:00,12.2,32,-4.1,8.7,0,0,0,1016.8,1006.3,74,0,74,4,0.04,0.96,5.5,203,15.5
2023-04-12T04:00,12,38,-1.9,8.8,0,0,0,1016.7,1006.2,36,0,36,15,0.03,0.87,5.3,208,16.6
2023-04-12T05:00,12.3,33,-3.6,8.8,0,0,0,1016.4,1005.9,19,0,0,19,0.04,0.96,5.8,240,32
2023-04-12T06:00,12.5,34,-3,8.9,0,0,0,1016.3,1005.8,99,0,0,99,0.05,0.96,6.8,205,17.3
2023-04-12T07:00,12.8,34,-2.7,9.5,0,0,0,1016.8,1006.3,99,0,0,99,0,0.97,4.9,197,10.8
2023-04-12T08:00,16.1,30,-1.5,12.9,0,0,0,1017,1006.6,6,0,3,6,0.11,1.28,6.1,242,19.1
2023-04-12T09:00,19.6,26,-0.4,15.6,0,0,0,1016.9,1006.6,37,0,37,3,0.3,1.69,12.6,273,32
2023-04-12T10:00,22.1,27,2.2,18.2,0,0,0,1016.6,1006.4,21,0,21,0,0.39,1.94,14,269,43.2
2023-04-12T11:00,24.5,28,4.8,21.2,0,0,0,1016.3,1006.2,3,0,3,0,0.58,2.21,20.9,285,36.4
2023-04-12T12:00,25.8,27,5.4,23.4,0,0,0,1015.7,1005.7,0,0,0,0,0.66,2.43,20,284,34.9
2023-04-12T13:00,27.2,26,6,24.7,0,0,0,1014.8,1004.8,0,0,0,0,0.71,2.66,21.9,290,30.6
2023-04-12T14:00,27.8,26,6.5,25.5,0,0,0,1013.9,1003.9,0,0,0,0,0.7,2.76,20.8,284,34.2
2023-04-12T15:00,28.4,24,5.8,26.2,0,0,0,1013.2,1003.3,0,0,0,0,0.65,2.93,16.9,270,31.3
2023-04-12T16:00,29.3,22,5.3,26.1,0,0,0,1012.1,1002.2,0,0,0,0,0.59,3.17,17.6,270,28.1
