time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h)
2023-04-11T00:00,15.1,32,-1.5,11.6,0,0,0,1025,1001,0,0,0,0,0.07,1.17,8.4,190,21.2
2023-04-11T01:00,15.4,28,-3.1,11.4,0,0,0,1024.7,1000.8,0,0,0,0,0.09,1.26,10,195,25.2
2023-04-11T02:00,15,26,-4.4,10.4,0,0,0,1024.7,1000.7,0,0,0,0,0.11,1.26,13.1,196,26.6
2023-04-11T03:00,13.8,33,-2.2,10.1,0,0,0,1024.8,1000.7,0,0,0,0,0.06,1.06,8.6,213,23.4
2023-04-11T04:00,13.3,36,-1.5,9.8,0,0,0,1024.8,1000.7,0,0,0,0,0.05,0.98,7.7,208,22.7
2023-04-11T05:00,13.1,38,-0.9,9.5,0,0,0,1024.6,1000.5,0,0,0,0,0.06,0.93,9,217,26.6
2023-04-11T06:00,12.6,40,-0.7,8.9,0,0,0,1024.7,1000.5,10,0,0,10,0.06,0.88,9.8,216,21.6
2023-04-11T07:00,11.7,42,-0.8,8.5,0,0,0,1024.5,1000.3,16,0,0,16,0.04,0.8,6.6,221,20.2
2023-04-11T08:00,11.6,46,0.3,8.3,0,0,0,1025.1,1000.8,12,0,0,12,0.04,0.74,8.2,229,22.7
2023-04-11T09:00,14.4,45,2.6,11,0,0,0,1025.1,1001.1,7,0,0,7,0.15,0.9,12,219,36.4
2023-04-11T10:00,16.7,42,3.7,13.2,0,0,0,1024.5,1000.7,2,0,0,2,0.27,1.1,13.5,222,32
2023-04-11T11:00,20,42,6.7,17.6,0,0,0,1023.7,1000.2,15,0,0,15,0.4,1.35,13.3,229,29.2
2023-04-11T12:00,21.8,40,7.6,19.9,0,0,0,1023.3,999.9,3,0,2,3,0.51,1.57,16.8,235,28.8
2023-04-11T13:00,23.4,35,7,21.3,0,0,0,1022.6,999.4,5,0,5,0,0.59,1.87,19.6,234,29.9
2023-04-11T14:00,24.5,37,8.9,23,0,0,0,1021.6,998.5,1,1,0,0,0.61,1.94,19.7,235,30.6
2023-04-11T15:00,25.2,35,8.6,23,0,0,0,1020.4,997.3,5,5,0,0,0.6,2.08,21.6,237,30.2
2023-04-11T16:00,25.8,33,8.3,23,0,0,0,1019.4,996.4,23,10,23,12,0.56,2.23,21.6,237,28.8
2023-04-11T17:00,26,32,8.1,22.1,0,0,0,1018.5,995.6,21,21,0,1,0.48,2.29,23.2,237,31.7
2023-04-11T18:00,25.7,33,8.2,22.1,0,0,0,1018.2,995.2,6,6,0,4,0.4,2.21,21.5,235,31.3
2023-04-11T19:00,25.3,31,6.9,21.6,0,0,0,1017.8,994.8,16,16,0,2,0.3,2.22,20,236,30.2
2023-04-11T20:00,24.5,31,6.2,21.3,0,0,0,1017.5,994.5,21,2,0,21,0.2,2.12,15.3,231,32
2023-04-11T21:00,22.5,36,6.7,20.8,0,0,0,1017.8,994.6,55,2,0,55,0.08,1.74,5.4,200,13.3
2023-04-11T22:00,21.3,37,6,19,0,0,0,1017.7,994.4,8,0,0,8,0.08,1.59,8.7,197,20.9
